sundanese:0 "Sundanese"
ito_sympathy_to_christians:0 "Sympathy for New Faiths"
ito_foresty_development:0 "Development of Forestry"
ISK_ideas:0 "Isshiki Ideas"
isk_shugo_of_tango:0 "Shugo of Tango"
isk_minister_of_samurai_dokoro:0 "Minister of Samurai-Dokoro"
isk_bridge_of_heaven:0 "Bridge of Heaven"
isk_reclaim_old_territories:0 "Reclaim Old Territories"
isk_inadome_gunnery:0 "Inadome Gunnery"
isk_upgrade_roads:0 "Upgrade the Road Network"
isk_port_development:0 "Expand our Ports"
TTI_ideas:0 "Tsutsui Ideas"
tti_warrior_monk:0 "Warrior Monks"
tti_winner_of_eikyo_civil_war:0 "Winner of Eikyo Civil War"
tti_kasuga_shrine:0 "Kasuga Shrine"
tti_mountainous_province:0 "Mountain Warfare"
tti_nara_city:0 "The Southern Capital"
tti_wise_opportunist:0 "Wise Opportunists"
tti_kofukuji_temple:0 "Tradition and Innovation"
KKC_ideas:0 "Kikuchi Ideas"
kkc_disinguished_family_in_kyushu:0 "Distinguished Family"
kkc_land_of_fire:0 "Land of Fire"
kkc_aso_schrine:0 "Aso Shrine"
kkc_resistance_against_foreign_intervention:0 "Fortify the Domain"
kkc_religious_coexistence:0 "Religious Coexistence"
kkc_three_chief_retainers:0 "Three Chief Retainers"
kkc_kumamoto_castle:0 "Central Stronghold"
KNO_ideas:0 "Kono Ideas"
kno_shugo_of_iyo:0 "Shugo of Iyo"
kno_oyamazumi_shrine:0 "Oyamazumi Shrine"
kno_integration_of_cadet_branches:0 "Integration of Cadet Branches"
kno_ruler_of_inland_sea:0 "Rule Over the Inland Sea"
kno_yuzuki_castle:0 "Yuzuki Castle"
kno_trade_with_asian_continent:0 "Trade With Continental Asia"
kno_murakami_suigun:0 "Murakami Suigun"
RFR_ideas:0 "Nanbu Ideas"
rfr_genji_in_the_north:0 "Genji in the North"
rfr_owner_of_nine_gates:0 "Owner of the 'Nine Gates'"
rfr_connection_with_kyoto:0 "Connection With Kyoto"
rfr_downfall_of_rebllious_vassals:0 "Downfall of Rebellious Vassals"
rfr_morioka_castle:0 "Centralization Reform"
rfr_chosonji_temple:0 "Chosonji Temple"
rfr_fight_against_famines:0 "Defeating the Famines"
TKD_ideas:0 "Takeda Ideas"
tkd_leader_of_kai_genji:0 "Leader of Kai Genji"
tkd_river_dams:0 "Shugo of River Dams"
tkd_information_network:0 "Information Network"
tkd_kurokawa_gold_mine:0 "Kurokawa Gold Mine"
tkd_koshu_hatto:0 "Koshu Hatto"
tkd_twentyfour_generals:0 "Twenty-Four Generals"
tkd_koyo_gunkan:0 "Koyo Gunkan"
SBA_ideas:0 "Shiba Ideas"
sba_chief_of_military_office:0 "Tradition of Military Service"
sba_shugo_of_three_provinces:0 "Shugo of Three Provinces"
sba_consolidation_of_kanrei_position:0 "Consolidation of the Kanrei Position"
sba_atsuta_shrine:0 "Atsuta Shrine"
sba_access_to_northern_japan:0 "Oshu Ties"
sba_shiba_retainers:0 "Rein in the Shiba Retainers"
sba_mogami_family:0 "Mogami Family"
YUA_ideas:0 "Great Yuan Ideas"
yua_da_zai_qian_yuan:0 "Da Zai Qian Yuan"
yua_pax_mongolica:0 "Pax Mongolica"
yua_a_savage_kingdom_holy_and_enchanted:0 "A Savage Kingdom Holy and Enchanted"
yua_the_three_teachings_and_nine_schools_respected:0 "The Three Teachings and Nine Schools All Respected"
yua_keshik_and_weijun:0 "Keshik and Weijun"
yua_sino_mongol_administration:0 "Sino-Mongol Administration"
yua_a_thousand_miles_as_if_at_home:0 "A Thousand Miles as if at Home"
city_upon_a_hill:0 "City Upon a Hill"
BLO_ideas:0 "Beloozero Ideas"
blo_martial_heritage:0 "Martial Heritage"
blo_monastic_traditions:0 "Monastic Traditions"
blo_strengthen_local_lineages:0 "Strengthen Local Lineages"
blo_control_the_northern_trade:0 "Northern Trade"
blo_officers_of_beloozero:0 "Officers of Beloozero"
blo_winter_warfare:0 "Boreal Warfare"
blo_scientific_patronage:0 "Scientific Patronage"
RSO_ideas:0 "Rostov Ideas"
rso_unification_of_rostov:0 "Re-Unification of Rostov"
rso_ancient_heritage:0 "Ancient Heritage"
rso_ecclesiastical_center:0 "Ecclesiastical Center"
rso_entrepot_of_russia:0 "Entrepot of Russia"
rso_rostov_kremlin:0 "Rostov Architecture"
rso_political_influence:0 "Political Influence"
rso_rostov_enamel:0 "Rostov Enamels"
MVA_ideas:0 "Moravian Ideas"
mva_margraviate:0 "Margraviate of Moravia"
mva_religious_refuge:0 "Religious Sanctuary"
mva_cities_of_moravia:0 "Cities of Moravia"
mva_land_of_vinyards:0 "Land of Vineyards"
mva_german_quarters:0 "German Quarters"
mva_jesuit_university:0 "Jesuit University"
mva_legacy_of_great_moravia:0 "Legacy of Great Moravia"
EST_ideas:0 "Estonian Ideas"
est_brotherhood_of_blackheads:0 "Brotherhood of Blackheads"
est_baltic_cooperation:0 "Baltic Ties"
est_academia_gustaviana:0 "An Estonian Academy"
est_baltic_trade:0 "Baltic Trade"
est_castles_of_estonia:0 "Castles of Estonia"
est_estophilia:0 "Estophilia"
est_national_awakening:0 "Ärkamisaeg"
TPR_ideas:0 "Tripuran Ideas"
tpr_rajmala:0 "Rajmala"
tpr_adaptive_administration:0 "Adaptive Administration"
tpr_religious_syncretism:0 "Religious Syncretism"
tpr_extended_army_control:0 "Extended Military Control"
tpr_appointment_of_missips:0 "Appointment of Missips"
tpr_strenghten_local_defences:0 "Strengthen Local Defenses"
HAN_ideas:0 "Hanoverian Ideas"
han_niedersachsicher_reichskreis:0 "Niedersächsicher Reichskreis"
han_weser_renaissance:0 "Weser Renaissance"
han_shutzenfest:0 "Schützenfest"
han_herrenhausen_gardens:0 "Herrenhausen Gardens"
han_strengthen_the_meiertum:0 "Strengthen the Meiertum"
han_hanoverian_chancery:0 "Hanoverian Chancery"
han_kings_legion:0 "King’s Legion"
AKK_ideas:0 "Aq Qoyunlu Ideas"
akk_white_sheep:0 "The White Sheep"
akk_unite_the_federation:0 "Unite the Clans"
akk_turko_iranian_bureaucracy:0 "Turko-Iranian Bureaucracy"
akk_apanages:0 "Dynastic Appanages"
akk_expansive_diplomacy:0 "Expansive Diplomacy"
akk_religious_pragmatism:0 "Religious Pragmatism"
akk_qanun_nama_ye_hasan:0 "Qanun-nama-ye Hasan"
reform_the_diwan:0 "Reform the Diwan"
KHO_ideas:0 "Khorasani Ideas"
kho_land_of_the_rising_sun:0 "Land of the Rising Sun"
kho_rein_in_the_turko_mongol_emirs:0 "Rein in the Turko-Mongol Emirs"
kho_princely_appanages:0 "Princely Appanages"
kho_irrigation_network:0 "Irrigation Canals"
kho_dynastic_chronicles:0 "Dynastic Chronicles"
kho_great_sheiks_of_khorasan:0 "Great Sheiks of Khorasan"
kho_protect_the_caravan_routes:0 "Protect the Caravan Routes"
TRS_ideas:0 "Transoxianian Ideas"
trs_mawarannahr:0 "Mawarannahr, the land Beyond the River"
trs_threshold_of_paradise:0 "Threshold of Paradise"
trs_adept_diplomacy:0 "Adept Diplomacy"
trs_turkoman_cannoneers:0 "Turkoman Cannoneers"
trs_scientific_patronage:0 "Scientific Patronage"
trs_entrepot_of_the_silk_road:0 "Entrepôt of the Silk Road"
QOM_ideas:0 "Ajami Ideas"
qom_jibal:0 "Jibal"
in_honor_of_ali:0 "In Honor of Ali"
qom_legacy_of_the_ilkhans:0 "Legacy of the Ilkhans"
qom_persian_language_and_court_culture:0 "Persian Language and Court Culture"
qom_tribes_of_iraq_e_ajam:0 "Tribes of Iraq-e Ajam"
qom_shahanshah:0 "Shahanshah"
FRS_ideas:0 "Farsi Ideas"
frs_land_of_the_persians:0 "Land of the Persians"
frs_center_of_religion_and_philosophy:0 "Center of Religion and Philosophy"
frs_diplomatic_prudence:0 "Diplomatic Prudence"
frs_shirazi_wine:0 "Expand the Wine Production"
frs_shirazi_school:0 "Shirazi School"
frs_integrate_the_qashqai:0 "Integrate the Qashqai"
frs_capital_for_an_empire:0 "A Capital for an Empire"
LRI_ideas:0 "Lur Ideas"
lri_kingdom_in_the_zagros_mountains:0 "Kingdom in the Zagros Mountains"
lri_jadda_ye_atabak:0 "Jadda-ye Atabak"
lri_haven_for_dissenters:0 "A Haven for Dissenters"
lri_popular_religion:0 "Popular Religion"
lri_looms_of_the_lurs:0 "Looms of the Lurs"
lri_rise_of_the_lurs:0 "Rise of the Lurs"
lri_foreign_trade:0 "Foreign Trade Ties"
QAR_ideas:0 "Qara Qoyunlu Ideas"
qar_black_sheep:0 "The Black Sheep"
qar_governor_of_azerbaijan:0 "Governor of Azerbaijan"
qar_dynamic_warfare:0 "Dynamic Warfare"
qar_freedom_with_responsibility:0 "Freedom with Responsibility"
qar_patron_of_iranian_culture:0 "Patron of Iranian Culture"
qar_irrigation_and_public_works:0 "Irrigation and Public Works"
MHR_ideas:0 "Mahri Ideas"
mhr_lands_of_frankincense_and_the_khareef:0 "Lands of Frankincense & the Khareef"
mhr_mercenary_traditions:0 "Mercenary Traditions"
mhr_mahra_tribes:0 "The Mahra Tribes"
mhr_pilots_of_the_arabian_sea:0 "Pilots of the Arabian Sea"
mhr_camels:0 "Mahra Camels"
mhr_book_of_navigation:0 "Book of Navigation"
mhr_rein_in_the_chiefs:0 "Rein in the Chiefs"
YEM_ideas:0 "Yemeni Ideas"
yem_al_yaman:0 "Al-Yaman, Felicitous Arabia"
yem_control_of_the_red_sea:0 "Control of the Red Sea"
yem_yemeni_architecture:0 "Yemeni Architecture"
yem_uniting_yemeni_tribes:0 "Uniting the Yemeni Tribes"
yem_promoting_yemeni_trade_ports:0 "Promoting the Yemeni Trade Ports"
yem_foreign_embassies:0 "Foreign Embassies"
RAS_ideas:0 "Rassid Ideas"
ras_living_imam:0 "The Living Imam"
ras_yemeni_highlands:0 "Yemeni Highlands"
ras_unite_rassid_state:0 "A Unified Rassid State"
ras_mountain_strongholds:0 "Mountain Strongholds"
ras_salt_in_water:0 "Like Salt Dissolves in Water"
ras_secure_trade_monopolies:0 "Secure the Yemeni Trading Monopolies"
MSY_ideas:0 "Mushasha Ideas"
msy_fervent_millenarianism:0 "Fervent Millenarianism"
msy_messianic_legacy:0 "Messianic Legacy of Muhammad bin Falah"
msy_swamp_warfare:0 "Swamp Warfare"
msy_arabistan:0 "Arabistan"
msy_house_united:0 "A House United"
msy_outward_pragmatism:0 "Outward Pragmatism"
msy_sufis_shias_middle_east:0 "Sufis and Shias of the Middle East"
SIS_ideas:0 "Sistani Ideas"
sis_lake_hamun:0 "Lake Hamun"
sis_saffarid_legacy:0 "Saffarid Legacy"
sis_subjugation_of_tribes:0 "Subjugation of the Tribes"
sis_loyal_service:0 "Loyal Service"
sis_overland_trade_routes:0 "Overland Trade Routes"
sis_chronicles_of_sistan:0 "Chronicles of Sistan"
sis_scholars_of_sistan:0 "Scholars of Sistan"
caspian_ideas:0 "Caspian Ideas"
caspian_riches_of_tabarestan:0 "The Riches of Tabarestan"
caspian_time_of_turmoil:0 "A Time of Turmoil"
caspian_silk:0 "Caspian Silk"
caspian_sea_trade:0 "Protect the Caspian Trade"
caspian_unite_minor_states:0 "Unite the states of Tabarestan"
caspian_safe_haven:0 "A Safe Haven"
caspian_promote_foreign_trade:0 "Promote Foreign Trade"
RUM_ideas:0 "Rûmi Ideas"
rum_abul_fath:0 "Abul-Fath"
rum_king_of_the_east_and_west:0 "Sultan al-Sharq wa al-Gharb"
rum_shahanshah:0 "Shahanshah"
rum_sultan_of_rum:0 "Sultan of Rûm"
rum_sulan_al_bahrayn:0 "Sultan al-Bahrayn"
rum_sultan_al_muazzam:0 "al-Sultan al-Muazzam"
rum_protector_of_dar_al_islam:0 "Protector of Dar al-Islam"
ARL_ideas:0 "Ardabili Ideas"
arl_safavid_order:0 "The Safavid Order"
arl_qizilbash:0 "The Qizilbash"
arl_shiite_leadership:0 "Leader of all Shiites"
arl_conversion_of_the_masses:0 "Conversion of the Masses"
arl_religious_war:0 "Religious War"
arl_amili_mujtahids:0 "Amili Mujtahids"
arl_shahs_of_iran:0 "Shahs of Iran"
geo_legacy_of_saint_nino:0 "Legacy of Saint Nino"
geo_dasturlamali:0 "Dasturlamali"
SME_ideas:0 "Samtskhe Ideas"
sme_atabegs_of_samtskhe:0 "Atabegs of Samtskhe"
sme_proactive_diplomacy:0 "Proactive Diplomacy"
sme_fortresses_of_samtskhe:0 "Fortresses of Samtskhe"
sme_independent_ambitions:0 "Independent Ambitions"
sme_protect_trade_routes:0 "Protect the Trade Routes"
sme_frontier_warriors:0 "Frontier Warriors"
sme_sacred_land:0 "A Sacred Land"
SRV_ideas:0 "Shirvani Ideas"
srv_khalwati_order:0 "The Khalwati Order"
srv_fortresses_of_shirvan:0 "Fortresses of Shirvan"
srv_tribesmen_of_the_caucasus:0 "Tribesmen of the Caucasus"
srv_persianate_patronage:0 "Persianate Patronage"
srv_caspian_trade:0 "Caspian Trade"
srv_shirvani_architecture:0 "Shirvani Architecture"
srv_merchants_of_baku:0 "Merchants of Baku"
ALH_ideas:0 "Al-Haasa Ideas"
alh_desert_warfare:0 "Desert Warfare"
alh_lord_of_the_eastern_bedouin:0 "Lord of the Bedouin of the East"
alh_pearls_of_the_persian_gulf:0 "Pearls of the Persian Gulf"
alh_fortify_the_coastline:0 "Fortify the coastline"
alh_entrepot_of_india:0 "Entrepot of India"
alh_a_modern_navy:0 "A Modern Navy"
alh_legacy_of_rahmah_ibn_jabir:0 "Legacy of Rahmah ibn Jabir"
HDR_ideas:0 "Hadramhi Ideas"
hdr_death_has_come:0 "Death Has Come"
hdr_tribes_of_hadramut:0 "Tribes of Hadramut"
hdr_hawtas:0 "Hawtas"
hdr_encouraging_the_incense_trade:0 "Encouraging the Incense Trade"
hdr_sailors_of_the_indian_ocean:0 "Sailors of the Indian Ocean"
hdr_hadramhi_diaspora:0 "Hadramhi Diaspora"
hdr_distant_diplomacy:0 "Distant Diplomacy"
HSN_ideas:0 "Ayyubid Ideas"
hsn_citadels_and_fortesses:0 "Citadels and Fortresses"
hsn_ayyubid_heritage:0 "Ancestral Heritage"
hsn_righteousness_of_the_faith:0 "Righteousness of the Faith"
hsn_elite_warriors:0 "Elite Warriors"
hsn_rise_of_the_eagle:0 "Rise of the Eagle"
hsn_strenghten_central_authority:0 "Strengthen Central Authority"
hsn_state_economics:0 "State Economics"
KTB_ideas:0 "Kitabatake Ideas"
ktb_unification_of_ise:0 "Unification of Ise"
ktb_blessing_of_amaterasu:0 "Blessing of Amaterasu"
ktb_southern_court:0 "Supporters of the Emperor"
ktb_kuki_suigun:0 "Kuki Suigin"
ktb_men_of_quality:0 "Men of Quality"
ktb_iga_ryu:0 "Iga-Ryu"
ktb_the_march_of_kitabatake_akiee:0 "March of Kitabatake Akiie"
MAS_ideas:0 "Madyas Ideas"
mas_hinalliwood:0 "Hinilawod"
mas_legacy_of_panai:0 "Legacy of Panai"
mas_articles_of_the_confederation:0 "Articles of the Confederation"
mas_masters_of_maritime_warfare:0 "Masters of Maritime Warfare"
mas_kinaduatan:0 "Kinadatuan"
mas_riches_of_the_visayas:0 "Riches of the Visayas"
mas_expand_the_shipbuilding_sector:0 "Expand the Shipbuilding Sector"
ODA_ideas:0 "Oda Ideas"
oda_rakuichi_rakuza:0 "Rakuichi & Rakuza"
oda_tenka_fubu:0 "Tenka Fubu"
oda_generals:0 "Oda Generals"
oda_azuchi_castle:0 "Influential Strongholds"
oda_triple_firing:0 "Triple Firing"
oda_patronization_of_the_west:0 "Patronization of the West"
oda_kenchi:0 "Kenchi"
TKG_ideas:0 "Tokugawa Ideas"
tkg_mikawa_bushi:0 "Mikawa Bushi"
tkg_strengthen_the_sekisho_network:0 "Strengthen the Sekisho Network"
tkg_hatamoto:0 "Hatamoto"
tkg_metsuke:0 "Metsuke"
tkg_matsudaira_branches:0 "Matsudaira Branches"
tkg_toshogu:0 "Toshogu"
tkg_famine_policies:0 "Famine Policies"
luzon_ideas:0 "Luzon Ideas"
luzon_barangay:0 "Barangay State"
luzon_conquest_of_paradise:0 "Conquest of Paradise"
luzon_sino_philippine_trade:0 "Sino-Philippine Trade"
luzon_tagalog_syncretism:0 "Tagalog Syncretism"
luzon_sailors:0 "Luzon Sailors"
luzon_a_safe_haven:0 "A Safe Haven"
luzon_expand_the_sugar_production:0 "Expand the Sugar Production"
BTU_ideas:0 "Butuan Ideas"
btu_indianized_society:0 "Indianized Society"
btu_northern_nusantara:0 "Northern Nusantara"
btu_butuan_trade_connections:0 "Butuan Trade Connections"
btu_butuan_goldwork:0 "Butuan Goldwork"
btu_balangay:0 "Balangay"
btu_protect_the_coastlines:0 "Protect the Coastlines"
btu_long_range_diplomacy:0 "Long Range Diplomacy"
CEB_ideas:0 "Cebu Ideas"
ceb_lumayas_ambition:0 "Lumaya’s Ambition"
ceb_chola_legacy:0 "Chola Legacy"
ceb_protect_against_the_magalos:0 "Protect against the Magalos"
ceb_pacify_the_islands:0 "Pacify the Islands"
ceb_place_for_trading:0 "'The Place for Trading'"
ceb_befriend_the_europeans:0 "Befriend the Europeans"
ceb_expansion_of_the_capital:0 "Expand the Capital"
mindanao_ideas:0 "Mindanao Ideas"
mindanao_an_islamicized_barangay:0 "An Islamicized Barangay"
mindanao_unite_the_datus:0 "Unite the Datus"
mindanao_protect_the_riches_of_mindanao:0 "Protect the Riches of Mindanao"
mindanao_moro_sailors:0 "Moro Sailors"
mindanao_fortify_our_ports:0 "Fortify our Ports"
mindanao_guerilla_warfare:0 "Guerrilla Warfare"
mindanao_pirates_of_mindanao:0 "Pirates of Mindanao"
ANU_ideas:0 "Ainu Ideas"
anu_chasi:0 "Chasi"
anu_riches_of_the_sea:0 "Riches of the Sea"
anu_southern_traders:0 "Southern Traders"
anu_heirs_of_jomon:0 "Heirs of Jomon"
anu_hunters_and_warriors:0 "Hunters and Warriors"
anu_yukar:0 "Yukar"
anu_fierce_resistance:0 "Fierce Resistance"
HJO_ideas:0 "Hojo Ideas"
hjo_legacy_of_the_kamakura_shogunate:0 "Legacy of the Kamakura Shogunate"
hjo_night_combat:0 "Night Combat"
hjo_effective_administration:0 "Reform the Administration"
hjo_tokusei:0 "Tokusei"
hjo_castles_of_hojo:0 "Castles of the Hojo"
hjo_unification_of_kanto:0 "Unification of Kanto"
hjo_council_in_odawara:0 "Council in Odawara"
CSK_ideas:0 "Chosokabe Ideas"
csk_ichiryo_gusoku:0 "Ichiryo Gusoku"
csk_seven_clans_of_tosa:0 "Seven Clans of Tosa"
csk_unification_of_shikoku:0 "Unification of Shikoku"
csk_100_article_code:0 "100 Article Code"
csk_expand_the_navy:0 "Expand the Navy"
csk_god_of_arts:0 "God of Arts"
csk_active_support_of_temples:0 "Support of the Temples"
MRI_ideas:0 "Mori Ideas"
mri_descendant_of_oe_hiromoto:0 "Descendants of Oe Hiromoto"
mri_leader_of_kokujin_ikki:0 "Leader of Kokujin Ikki"
mri_diplomatic_intrigues:0 "Diplomatic Intrigues"
mri_three_arrows:0 "Three Arrows"
mri_hiroshima_castle:0 "Hiroshima"
mri_itsukushima_shrine:0 "Itsukushima"
mri_hagi_ware:0 "Hagi Ware"
ASA_ideas:0 "Asakura Ideas"
asa_hidden_diplomacy:0 "Hidden Diplomacy"
asa_echizen_paper:0 "Echizen Paper"
asa_ichijodani_city:0 "Ichijodani City"
asa_teach_of_asakura_soteki:0 "Asakura Soteki"
asa_seventeen_clan_code:0 "Seventeen Clan Code"
asa_control_of_buddhist_sects:0 "Control of Buddhist Sects"
asa_legacy_of_emperor_keitai:0 "Legacy of Emperor Keitai"
KID_ideas:0 "Kildarean Ideas"
kid_lords_of_ireland:0 "Lords Deputy"
kid_ear_of_the_king:0 "Silver Tongues"
kid_silken_finery:0 "Silken Thomas"
kid_royal_irish_army:0 "Royal Irish Army"
wizard_earl:0 "The Wizard Earl"
the_curragh:0 "Curragh Horsemanship"
kid_architects_of_nation:0 "A New Seat for the FitzGeralds"
TYR_ideas:0 "Tyrone Ideas"
tyr_chief_of_irish_kings:0 "Chief of Irish Kings"
tyr_o_neill_mor:0 "The O’Neill Mór"
tyr_tanistry:0 "Tanistry"
tyr_arming_people:0 "Arming the People"
tyr_catholic_diplomacy:0 "Catholic Diplomacy"
tyr_ambush_warfare:0 "Ambush Warfare"
tyr_wild_geese:0 "The Wild Geese"
TRY_ideas:0 "Tyrconnell Ideas"
try_fisher_king:0 "The Fisher King"
try_fort_foreigners:0 "Fort of the Foreigners"
try_religious_patrons:0 "Religious Patrons"
try_patricks_purgatory:0 "St Patrick’s Purgatory"
try_lessons_knockavoe:0 "Lessons of Knockavoe"
try_land_of_exiles:0 "Land of Exiles"
try_scottish_ties:0 "Scottish Ties"
MCM_ideas:0 "Munster Ideas"
mcm_basque_fishermen:0 "North Sea Fishermen"
mcm_brave_and_faithful:0 "The Brave and Faithful"
mcm_hill_raiders:0 "Hill Raiders"
mcm_spanish_ties:0 "Spanish Ties"
mcm_fairer_shores:0 "Fairer Shores"
mcm_pirate_haven:0 "Pirate Haven"
mcm_enemies_everywhere:0 "Enemies Within"
LEI_ideas:0 "Leinster Ideas"
legacy_of_palladius:0 "Legacy of Palladius"
lei_black_rent:0 "The Black Rent"
lei_geraldine_league:0 "The Geraldine League"
lei_enemy_of_enemy:0 "The Subject of My Enemy is My Friend"
lei_strong_cunning:0 "He Who Is Not Strong Must Be Cunning"
lei_long_memories:0 "Long Memories"
lei_military_academy:0 "Ballinacore Military Academy"
CNN_ideas:0 "Clanricarde Ideas"
cnn_14_tribes:0 "The Fourteen Tribes"
cnn_fire_and_sword:0 "By Fire and Sword"
cnn_sea_people:0 "People of the Sea"
cnn_irish_hobby:0 "Irish Hobbies"
cnn_catholicism:0 "Catholic Holdouts"
cnn_hell_or_connacht:0 "To Hell or to Connacht "
cnn_lord_presidency:0 "The Lord Presidency"
ORD_ideas:0 "Ormond Ideas"
ord_english_service:0 "English Service"
ord_courts_of_europe:0 "The Courts of Europe"
ord_wool_earl:0 "The Wool Earl"
ord_locals_in_line:0 "Keeping the Locals in Line"
ord_irish_rivalries:0 "Irish Rivalries"
ord_subdue_irish:0 "Irish Siegecraft"
ord_build_on_success:0 "Entrenchment of the Butler Dynasty"
highland_scottish_ideas:0 "Highlander Ideas"
hsc_the_wallace:0 "The Wallace"
hsc_highland_clans:0 "The Highland Clans"
hsc_storm_the_castle:0 "Storming the Castle"
hsc_episcopalianism:0 "Episcopalianism"
hsc_highland_charge:0 "Highland Charge"
hsc_arming_act:0 "The Arming Act"
hsc_ossian:0 "Ossian"
FLY_ideas:0 "Offaly Ideas"
fly_galloglas:0 "The Gallowglasses"
fly_gracious_hosts:0 "Irish Hospitality"
fly_trade_shannon:0 "River Trade"
fly_clonmacnoise:0 "The Fear of God"
fly_tower_houses:0 "Tower Houses"
fly_family_affair:0 "A Family Affair"
fly_buannacht:0 "The Buannacht"
ULS_ideas:0 "Ulster Ideas"
uls_clan_connections:0 "Highland Connections"
uls_peerage:0 "Peerage of Ulster"
civilist_of_irishry:0 "Civilist of the Irishry"
rapparee:0 "Rapparees"
catholic_ascendency:0 "Catholic Ascendency"
uls_defenders:0 "The Defenders"
uls_last_redoubt:0 "Last Redoubt of Ireland"
CRN_ideas:0 "Cornish Ideas"
crn_stannary_parliaments:0 "Stannary Parliaments"
crn_cornish_rebels:0 "Cornish Rebels"
crn_prayer_book_traditionaliism:0 "Prayer Book Traditionalism"
crn_pirates_of_penzance:0 "Pirates of Penzance"
crn_royalist_army:0 "Cornish Royalist Army"
crn_gear_rout:0 "The Gear Rout"
crn_arthurian_romanticism:0 "Arthurian Romanticism"
KOI_ideas:0 "Manx Ideas"
mann_tynwald:0 "Tynwald High Court"
mann_stanleys:0 "The Stanleys"
mann_kings:0 "Kings of Mann"
mann_act_of_settlement:0 "The Act of Settlement"
mann_and_the_isles:0 "Mann and the Isles"
mann_burn_the_heretic:0 "Burn the Heretic"
mann_act_of_revestment:0 "The Act of Revestment"
MTH_ideas:0 "Meath Ideas"
mth_parliament_of_ireland:0 "Parliament of Ireland"
mth_englishtown:0 "Englishtown"
mth_the_cess:0 "The Cess"
mth_trinity_college:0 "Trinity College"
mth_siege_mentality:0 "Siege Mentality"
FRI_ideas:0 "Frisian Ideas"
fri_coastal_industry:0 "Coastal Industry"
fri_upstalsboom_league:0 "The Upstalsboom League"
fri_zuiderzee_settlements:0 "The Zuider Embankments"
fri_flooding_polders:0 "Flooding the Polders"
fri_mennonism:0 "Difference of Opinion"
fri_brothers_arms:0 "Brothers in Arms"
fri_dutch_courage:0 "Dutch Courage"
UTR_ideas:0 "Utrecht Ideas"
utr_devotio_moderna:0 "Devotio Moderna"
utr_ex_cathedra:0 "Ex Cathedra"
utr_fortified_town:0 "Fortified City"
utr_vaartse_rijn:0 "The Vaartse Rijn"
utr_city_churches:0 "City of Churches"
utr_cultural_resilience:0 "Cultural Resilience"
utr_enlightenment_masses:0 "Enlightenment of the Masses"
FLA_ideas:0 "Flemish Ideas"
fla_cloth:0 "Flemish Cloth"
fla_land_reclamation:0 "Land Reclamation"
fla_beeldenstorm:0 "Beeldenstorm"
fla_painters:1 "Flemish Innovation"
fla_ship_building:0 "North Sea Shipyards"
fla_university:1 "Flemish Academics"
fla_noose_bearers:0 "Noose-Bearers"
BRB_ideas:0 "Brabant Ideas"
brb_charter_of_liberty:0 "Charter of Liberty"
brb_marsh_warfare:0 "Marsh Warfare"
brb_palace_coudenberg:0 "Palace of Coudenberg"
brb_sugar_capital:0 "Sugar Capital of Europe"
brb_antwerp_banking:0 "Banks of Antwerp"
brb_religious_tolerance:0 "Tradition of Toleration"
brb_generality_lands:0 "Generality Lands"
LIE_ideas:0 "Liège Ideas"
lie_guild_democracy:0 "Guild Democracy"
wars_of_liege:0 "The Wars of Liège"
lie_religious_devotion:0 "Religious Devotion"
lie_wittelsbach_bishops:0 "Wittelsbach Bishops"
lie_prince_bishop_palace:0 "The Prince-Bishop's Palace"
lie_literary_society:0 "Société Littéraire"
lie_rights_of_man:0 "Declaration of the Rights of Man and Citizen"
GEL_ideas:0 "Gelre Ideas"
gel_county_duchy:0 "Feudal Elevation"
gel_hanseatic:0 "Hanseatic Towns"
gel_defy_burgundy:0 "Defiance of Foreign Rule"
gel_rivers:0 "Rule the Rivers"
gel_gelderland_wars:0 "The Gelderland Wars"
gel_looting:0 "Loot as Payment"
gel_diplomatic_expansion:0 "Land Negotiations"
EFR_ideas:0 "East Frisian Ideas"
efr_chiefs:0 "Chiefs of East Frisia"
efr_saxon_feud:0 "The Saxon Feud"
efr_religious_thought:0 "Center of Religious Thought"
efr_dutch_migrants:0 "Dutch Migrants"
efr_mennonism:0 "Refuge of the Mennonites"
efr_city_autonomy:0 "Autonomous Burghers"
efr_emden_company:0 "The Emden Company"
AAC_ideas:0 "Aachen Ideas"
aac_charlemagne_capital:0 "Charlemagne's Capital"
aac_free_city:0 "Imperial Free City"
aac_spa:0 "Spa City"
aac_guilds:0 "Guild and Government"
aac_expel_heretics:0 "Expel Heretical Officials"
aac_baroque:0 "Baroque Architecture"
aac_congresses:0 "Congresses of Aachen"
KLE_ideas:0 "Clevian Ideas"
kle_walled_cities:0 "Walled Cities"
kle_cleves_mark:0 "Cleves and Mark"
kle_reformers:0 "Avid Reformers"
kle_marriages:0 "Strategic Marriages"
kle_united_duchies:0 "United Duchies"
kle_educated_duisburg:0 "Educated Duisberg"
kle_renovate_swan_castle:0 "Militarize Schwanenburg"
tau_elephant_battles:0 "Elephant Warfare"
tau_organized_campaigns:0 "Organized Military Campaigns"
AVA_ideas:0 "Ava Ideas"
ava_rajadhiraja:0 "Rajadhiraja"
ava_bamar_literature:0 "Patronize Burmese Literature"
ava_hill_tribes:0 "Recruit from the Hill Tribes"
ava_shan_in_line:0 "Keep the Shan in Line"
